List of Pinball Machines

Title                                              Manufacturer                              Release Date
Extra Inning                                       Gottlieb                                  May 1971
Four Million B.C.                                  Bally                                     May 1971
4 Square                                           Gottlieb                                  June 1971
Roller Coaster                                     Gottlieb                                  June 1971
Card King                                          Gottlieb                                  August 1971
Klondike                                           Williams                                  August 23, 1971
Yukon                                              Williams                                  August 23, 1971
Zodiac                                             Williams                                  August 23, 1971
Astro                                              Gottlieb                                  October 1971
Stardust                                           Williams                                  October 14, 1971
Drop-A-Card                                        Gottlieb                                  November 1971
4x4                                                Maresa                                    1972
Cine star                                          Zaccaria                                  1972
Dakota                                             Maresa                                    1972
Flying Carpet                                      Gottlieb                                  January 1972
Reggio                                             Maresa                                    1972
Fireball                                           Bally                                     February 1972
Outer Space                                        Gottlieb                                  February 1972
Spanish Eyes                                       Williams                                  March 1972
Granada                                            Williams                                  March 13, 1972
Grand Slam                                         Gottlieb                                  July 1972
King Kool                                          Gottlieb                                  July 1972
Big Star                                           Williams                                  September 1972
Space Time                                         Bally                                     September 1972
Fan-Tas-Tic                                        Williams                                  September 26, 1972
1-2-3                                              Talleres del Llobregat                    1973
Geisha                                             Playmatic                                 1973
Play Time                                          Playmatic                                 January 1973
Roller Coaster                                     Maresa                                    1973
Seven Winner                                       Inder                                     1973
Jack In The Box                                    Gottlieb                                  February 1973
Pro-Football                                       Gottlieb                                  February 1973
Hee Haw                                            Chicago Coin                              March 1973
Monte Carlo                                        Bally                                     March 1973
Odds & Evens                                       Bally                                     March 1973
Jumping Jack                                       Gottlieb                                  May 1973
Top Hand                                           Gottlieb                                  May 1973
Gulfstream                                         Williams                                  May 24, 1973
Nip-It                                             Bally                                     July 1973
Ten-Up                                             Gottlieb                                  August 1973
Hot Shot                                           Gottlieb                                  September 1973
Hi-Lo Ace                                          Bally                                     October 1973
OXO                                                Williams                                  October 30, 1973
Circus                                             Bally                                     November 1973
King Pin                                           Gottlieb                                  November 1973
Big Brave                                          Bensa                                     1974
Big Brave                                          Maresa                                    1974
Big Shot                                           Gottlieb                                  January 1974
Big Show                                           Bally                                     January 1974
Boomerang                                          Bally                                     1974
The Fiery 30's                                     Recel S.A.                                1974
Fifteen                                            Inder                                     1974
Gunner                                             Playmatic                                 1974
Harem                                              Playmatic                                 1974
Joker                                              Playmatic                                 January 1974
Jolly Ride                                         Playmatic                                 January 1974
King Pin                                           Maresa                                    1974
Stripping Funny                                    Inder                                     1974
Super Bowling                                      Inder                                     January 1974
Yale                                               Inder                                     1974
Champ                                              Bally                                     February 1974
Twin Win                                           Bally                                     February 1974
Dealer's Choice                                    Williams                                  March 1974
Skylab                                             Williams                                  March 1974
Big Indian                                         Gottlieb                                  April 1974
Amigo                                              Bally                                     May 1974
Big Brave                                          Gottlieb                                  May 1974
Capt. Card                                         Gottlieb                                  May 1974
Sky Jump                                           Gottlieb                                  May 1974
Delta Queen                                        Bally                                     July 1974
Magnotron                                          Gottlieb                                  August 1974
Duotron                                            Gottlieb                                  September 1974
Top Card                                           Gottlieb                                  September 1974
Free Fall                                          Gottlieb                                  October 1974
Astro-Flite                                        Sega Pinball                              December 1974
Far Out                                            Gottlieb                                  December 1974
Out of Sight                                       Gottlieb                                  December 1974
Star Pool                                          Williams                                  December 5, 1974
Apache                                             Playmatic                                 1975
Atlantis                                           Gottlieb                                  January 1975
Big Horse                                          Maresa                                    1975
Black & Reed                                       Inder                                     1975
Caddie                                             Playmatic                                 1975
Champion                                           Nordamatic                                1975
Check                                              Recel S.A.                                January 1975
Check Mate                                         Recel S.A.                                January 1975
Dakota II                                          Maresa                                    1975
Ducks                                              Playmatic                                 1975
Lucky Fruit                                        Zaccaria                                  1975
Red Show                                           Zaccaria                                  January 1975
Super Soccer                                       Gottlieb                                  January 1975
Tam-Tam                                            Playmatic                                 1975
Ten Up                                             Zaccaria                                  1975
Top Speed                                          Recel S.A.                                January 1975
Up Away                                            Inder                                     January 1975
Air Aces                                           Bally                                     February 1975
Soccer                                             Gottlieb                                  March 1975
Satin Doll                                         Williams                                  March 12, 1975
Criterium 75                                       Recel S.A.                                April 1975
El Dorado                                          Gottlieb                                  April 1975
Fast Draw                                          Gottlieb                                  April 1975
Knockout                                           Bally                                     April 1975
Big Ben                                            Williams                                  April 9, 1975
Black Flag                                         Playmatic                                 May 1975
Kick Off                                           Bally                                     May 1975
Wizard                                             Bally                                     May 1975
Pat Hand                                           Williams                                  May 7, 1975
Blue Max                                           Chicago Coin                              July 1975
Blue Ribbon                                        Bally                                     July 1975
Spin Out                                           Gottlieb                                  July 1975
"300"                                              Gottlieb                                  August 1975
Black Gold                                         Williams                                  September 1975
Fairy                                              Playmatic                                 September 1975
Hi-Deal                                            Bally                                     October 1975
The Spirit of '76                                  Mirco Games, Inc.                         October 1975
Top Score                                          Gottlieb                                  October 1975
Abra Ca Dabra                                      Gottlieb                                  November 1975
Bow and Arrow                                      Bally                                     November 1975
Lucky Strike                                       Gottlieb                                  November 1975
Spirit of 76                                       Gottlieb                                  December 1975
300                                                Maresa                                    1976
The Atarians                                       Atari                                     1976
The Best Corsair                                   Europlay                                  1976
Big Hunt                                           A.M.I.                                    1976
Big Together                                       Sega Pinball                              1976
Casino Royale                                      Segasa                                    1976
Conquest 200                                       Playmatic                                 1976
Crazy Clock                                        Sega Pinball                              1976
Crocket                                            Giorgio Massiniero                        1976
Fantasy                                            Playmatic                                 January 1976
Flip Flop                                          Bally                                     January 1976
Keops                                              Inder                                     January 1976
Laramie                                            Maresa                                    1976
Lucky Smile                                        Inder                                     1976
Running Horse                                      Inder                                     January 1976
Screech                                            Inder                                     1976
Space Mission                                      Williams                                  January 1976
Ten Stars                                          Zaccaria                                  1976
Woods Queen                                        Zaccaria                                  January 1976
Aztec                                              Williams                                  February 1976
Cinema                                             Chicago Coin                              March 1976
Hokus Pokus                                        Bally                                     March 1976
Pioneer                                            Gottlieb                                  March 1976
Sure Shot                                          Gottlieb                                  March 1976
Old Chicago                                        Bally                                     April 1976
Fandango                                           Playmatic                                 May 1976
Royal Flush                                        Gottlieb                                  May 1976
Aladdin's Castle                                   Bally                                     June 1976
Buccaneer                                          Gottlieb                                  June 1976
Cannes                                             Segasa                                    June 1976
Capt. Fantastic and The Brown Dirt Cowboy          Bally                                     June 1976
Fiesta                                             Playmatic                                 June 1976
Ship Ahoy                                          Gottlieb                                  June 1976
Space Odyssey                                      Williams                                  June 1976
Underwater                                         Recel S.A.                                June 1976
Card Whiz                                          Gottlieb                                  July 1976
Freedom                                            Bally                                     July 1976
Surf Champ                                         Gottlieb                                  August 1976
Quarterback                                        Bally                                     September 1976
Moon Flight                                        Zaccaria                                  October 1976
New World                                          Playmatic                                 October 1976
Surfer                                             Gottlieb                                  October 1976
Volley                                             Gottlieb                                  October 1976
Lady Luck                                          Recel S.A.                                November 1976
Night Rider                                        Bally                                     November 1976
Blue Chip                                          Williams                                  December 1976
Canada Dry                                         Gottlieb                                  December 1976
Faces                                              Sonic                                     December 1976
Hang Glider                                        Bally                                     December 1976
Target Alpha                                       Gottlieb                                  December 1976
